"","Species","cellID","x","y","Precipitation...seasonality..Bio15.","Temperature...annual.range..Bio07.","Potassium","Phosphorus","Nitrogen"
"96167","Eucalyptus ebbanoensis",96167,-1466010,6707215,67,29.5,NA,NA,NA
"96247","Eucalyptus ebbanoensis",96247,-666010,6707215,41,31.4,NA,NA,NA
"96249","Eucalyptus ebbanoensis",96249,-646010,6707215,41.1666666666667,31.5,NA,NA,NA
"96654","Eucalyptus ebbanoensis",96654,-966010,6697215,38,31.7,NA,NA,NA
"97042","Eucalyptus ebbanoensis",97042,-1456010,6687215,70,29.4,NA,NA,NA
"97478","Eucalyptus ebbanoensis",97478,-1466010,6677215,75,28.6,0.039023,0.012866,0.030517
"97483","Eucalyptus ebbanoensis",97483,-1416010,6677215,64,30.8,0.028358,0.014397,0.026494
"97910","Eucalyptus ebbanoensis",97910,-1516010,6667215,89,25.1,0.027452746,0.013814149,0.029128205
"97912","Eucalyptus ebbanoensis",97912,-1496010,6667215,85,26.4,0.039023,0.012866,0.030517
"97914","Eucalyptus ebbanoensis",97914,-1476010,6667215,80,27.7,0.039023,0.012866,0.030517
"97915","Eucalyptus ebbanoensis",97915,-1466010,6667215,78,28.4,0.028123599,0.01443065,0.02640558
"97916","Eucalyptus ebbanoensis",97916,-1456010,6667215,74,28.9,0.028358,0.014397,0.026494
"97917","Eucalyptus ebbanoensis",97917,-1446010,6667215,72,29.45,0.028358,0.014397,0.026494
"98348","Eucalyptus ebbanoensis",98348,-1506010,6657215,87,25.5,0.039023,0.012866,0.030517
"98351","Eucalyptus ebbanoensis",98351,-1476010,6657215,81,27.3,0.031127,0.015118,0.03276
"98352","Eucalyptus ebbanoensis",98352,-1466010,6657215,79,28,0.028346233,0.014393937,0.026467375
"98353","Eucalyptus ebbanoensis",98353,-1456010,6657215,76,28.6,0.028358,0.014397,0.026494
"98354","Eucalyptus ebbanoensis",98354,-1446010,6657215,73.5,29.1,0.028358,0.014397,0.026494
"98361","Eucalyptus ebbanoensis",98361,-1376010,6657215,59,31.2,0.030487,0.012621,0.02125
"98418","Eucalyptus ebbanoensis",98418,-806010,6657215,38,31,NA,NA,NA
"98785","Eucalyptus ebbanoensis",98785,-1506010,6647215,88,24.6,0.03864466,0.01289152,0.030707503
"98790","Eucalyptus ebbanoensis",98790,-1456010,6647215,77,28.4,0.028358,0.014397,0.026494
"98796","Eucalyptus ebbanoensis",98796,-1396010,6647215,63,30.9,0.030390058,0.012701868,0.02148878
"98797","Eucalyptus ebbanoensis",98797,-1386010,6647215,61.8333333333333,30.9166666666667,0.030487,0.012621,0.02125
"98798","Eucalyptus ebbanoensis",98798,-1376010,6647215,61,31,0.030487,0.012621,0.02125
"98841","Eucalyptus ebbanoensis",98841,-946010,6647215,33,31.4,NA,NA,NA
"99227","Eucalyptus ebbanoensis",99227,-1456010,6637215,79,28.2,0.028358,0.014397,0.026494
"99233","Eucalyptus ebbanoensis",99233,-1396010,6637215,67,30.6,0.030487,0.012621,0.02125
"99234","Eucalyptus ebbanoensis",99234,-1386010,6637215,62.5,30.925,0.030487,0.012621,0.02125
"99287","Eucalyptus ebbanoensis",99287,-856010,6637215,35,30.8,NA,NA,NA
"99300","Eucalyptus ebbanoensis",99300,-726010,6637215,38,31,NA,NA,NA
"99301","Eucalyptus ebbanoensis",99301,-716010,6637215,39,31.1,NA,NA,NA
