species_genome_size,mean(genome_size)
Angophora costata,0.84
Angophora floribunda,0.83
Angophora hispida,0.82
Angophora inopina,0.84
Angophora leiocarpa,0.83
Angophora melanoxylon,0.8
Angophora subvelutina,0.83
Corymbia abergiana,0.91
Corymbia aparrerinja,0.98
Corymbia aureola,0.9
Corymbia bella,0.92
Corymbia bloxsomei,0.9
Corymbia brachycarpa,0.91
Corymbia bunites,0.93
Corymbia cadophora,0.9
Corymbia calophylla,0.84
Corymbia capricornia,0.885
Corymbia catenaria,0.9
Corymbia citriodora,0.91
Corymbia clandestina,0.85
Corymbia clarksoniana,0.91
Corymbia cliftoniana,0.9
Corymbia deserticola,0.89
Corymbia dichromophloia,0.89
Corymbia dimorpha,0.88
Corymbia dolichocarpa,0.89
Corymbia ellipsoidea,0.89
Corymbia eremaea,0.885
Corymbia erythrophloia,0.92
Corymbia eximia,0.89
Corymbia ferriticola,0.97
Corymbia ferruginea,0.9
Corymbia ficifolia,0.88
Corymbia gummifera,0.86
Corymbia haematoxylon,0.87
Corymbia hamersleyana,0.91
Corymbia hendersonii,0.91
Corymbia henryi,0.9
Corymbia intermedia,0.91
Corymbia leichhardii,0.9
Corymbia lenziana,0.9
Corymbia leptoloma,0.9
Corymbia ligans,0.89
Corymbia maculata,0.9
Corymbia opaca,0.91
Corymbia pachycarpa,0.88
Corymbia peltata,0.9
Corymbia petalophylla,0.89
Corymbia plena,0.91
Corymbia polysciada,0.95
Corymbia rhodops,0.91
Corymbia scabrida,0.88
Corymbia serendipita,0.89
Corymbia terminalis,0.87
Corymbia tessellaris,1.01
Corymbia torelliana,0.87
Corymbia trachyphloia,0.865
Corymbia umbonata,0.9
Corymbia variegata,0.91
Corymbia watsoniana,0.9
Corymbia xanthope,0.9
Eucalyptus absita,1.23
Eucalyptus acaciiformis,1.23
Eucalyptus accedens,1.25
Eucalyptus acmenoides,1.1
Eucalyptus adesmophloia,1.26
Eucalyptus aenea,1.28
Eucalyptus aequioperta,1.28
Eucalyptus agglomerata,1.15
Eucalyptus aggregata,1.18
Eucalyptus alaticaulis,1.22
Eucalyptus alatissima,1.28
Eucalyptus alba,1.13
Eucalyptus albens,1.31
Eucalyptus albida,1.14
Eucalyptus albopurpurea,1.26
Eucalyptus alipes,1.3
Eucalyptus alligatrix,1.19
Eucalyptus ammophila,1.27
Eucalyptus amplifolia,1.225
Eucalyptus amygdalina,1.14
Eucalyptus ancophila,1.24
Eucalyptus andrewsii,1.12
Eucalyptus angophoroides,1.2
Eucalyptus angulosa,1.26
Eucalyptus angustissima,1.22
Eucalyptus annettae,1.415
Eucalyptus annulata,1.21
Eucalyptus apiculata,1.16
Eucalyptus apodophylla,1.14
Eucalyptus apothalassica,1.09
Eucalyptus approximans,1.14
Eucalyptus aquilina,0.97
Eucalyptus arachnaea,1.27
Eucalyptus arborella,1.19
Eucalyptus arcana,1.18
Eucalyptus archeri,1.19
Eucalyptus arenacea,1.14
Eucalyptus arenicola,1.14
Eucalyptus argophloia,1.3
Eucalyptus argutifolia,1.31
Eucalyptus aridomontana,1.26
Eucalyptus armillata,1.32
Eucalyptus aromaphloia,1.2
Eucalyptus articulata,1.236666667
Eucalyptus aspersa,1.23
Eucalyptus aspratilis,1.24
Eucalyptus assimilans,1.37
Eucalyptus astringens,1.355
Eucalyptus atrata,1.29
Eucalyptus aurantiaca,1.6
Eucalyptus aurifodina,1.16
Eucalyptus badjensis,1.17
Eucalyptus baeuerlenii,1.2
Eucalyptus baileyana,1.26
Eucalyptus baiophylla,1.28
Eucalyptus bakeri,1.28
Eucalyptus balladoniensis,1.325
Eucalyptus bancroftii,1.18
Eucalyptus banksii,1.24
Eucalyptus barberi,1.2
Eucalyptus baudiniana,1.25
Eucalyptus baueriana,1.23
Eucalyptus beaniana,1.33
Eucalyptus beardiana,1.24
Eucalyptus behriana,1.22
Eucalyptus bensonii,1.16
Eucalyptus benthamii,1.2
Eucalyptus beyeri,1.24
Eucalyptus bicostata,1.24
Eucalyptus bigalerita,1.17
Eucalyptus biterrainea,1.23
Eucalyptus blakelyi,1.21
Eucalyptus blaxellii,1.29
Eucalyptus blaxlandii,1.16
Eucalyptus boliviana,1.146666667
Eucalyptus bosistoana,1.26
Eucalyptus botryoides,1.22
Eucalyptus brachycalyx,1.3
Eucalyptus brandiana,1.19
Eucalyptus brassiana,1.24
Eucalyptus brevifolia,1.2
Eucalyptus brevipes,1.23
Eucalyptus brevistylis,1.04
Eucalyptus bridgesiana,1.21
Eucalyptus brockwayi,1.2
Eucalyptus brookeriana,1.19
Eucalyptus broviniensis,1.2
Eucalyptus brownii,1.29
Eucalyptus brunnea,1.23
Eucalyptus bunyip,1.21
Eucalyptus bupestrium,1.08
Eucalyptus burdettiana,1.15
Eucalyptus burracoppinensis,1.28
Eucalyptus cadens,1.18
Eucalyptus caesia,1.1275
Eucalyptus cajuputea,1.27
Eucalyptus calcareana,1.31
Eucalyptus calcicola,1.065
Eucalyptus caleyi,1.26
Eucalyptus caliginosa,1.14
Eucalyptus calycogona,1.265
Eucalyptus camaldulensis,1.202777778
Eucalyptus cambageana,1.33
Eucalyptus cameronii,1.11
Eucalyptus camfieldii,1.14
Eucalyptus campanulata,1.13
Eucalyptus campaspe,1.34
Eucalyptus camphora,1.205
Eucalyptus canaliculata,1.25
Eucalyptus canescens,1.35
Eucalyptus canobolensis,1.19
Eucalyptus capillosa,1.31
Eucalyptus capitanea,1.26
Eucalyptus capitellata,1.13
Eucalyptus captiosa,1.23
Eucalyptus carnea,1.07
Eucalyptus carnei,1.25
Eucalyptus castrensis,1.27
Eucalyptus celastroides,1.295
Eucalyptus cephalocarpa,1.2
Eucalyptus cerasiformis,1.2
Eucalyptus ceratocorys,1.18
Eucalyptus cernua,1.35
Eucalyptus chartaboma,1.55
Eucalyptus chloroclada,1.18
Eucalyptus chlorophylla,1.3
Eucalyptus cinerea,1.195
Eucalyptus cladocalyx,1.183333333
Eucalyptus clelandii,1.3
Eucalyptus clivicola,1.28
Eucalyptus cloeziana,1.04
Eucalyptus cneorifolia,1.24
Eucalyptus comitae-vallis,1.31
Eucalyptus concinna,1.32
Eucalyptus conferruminata,1.15
Eucalyptus conferta,1.18
Eucalyptus conglobata,1.28
Eucalyptus conica,1.26
Eucalyptus consideniana,1.14
Eucalyptus conspicua,1.17
Eucalyptus conveniens,1.17
Eucalyptus coolabah,1.32
Eucalyptus cooperiana,1.3
Eucalyptus cordata,1.23
Eucalyptus cornuta,1.18
Eucalyptus coronata,1
Eucalyptus corrugata,1.33
Eucalyptus corticosa,1.22
Eucalyptus corynodes,1.32
Eucalyptus crebra,1.28
Eucalyptus creta,1.28
Eucalyptus cretata,1.28
Eucalyptus croajingolensis,1.11
Eucalyptus crucis,1.176666667
Eucalyptus cullenii,1.26
Eucalyptus cunninghamii,1.13
Eucalyptus cuprea,1.2
Eucalyptus cupularis,1.17
Eucalyptus curtisii,0.92
Eucalyptus cyanophylla,1.28
Eucalyptus cyclostoma,1.28
Eucalyptus cylindriflora,1.24
Eucalyptus cylindrocarpa,1.35
Eucalyptus cypellocarpa,1.22
Eucalyptus dalrympleana,1.19
Eucalyptus dawsonii,1.26
Eucalyptus dealbata,1.23
Eucalyptus deanei,1.18
Eucalyptus decipiens,1.25
Eucalyptus decolor,1.34
Eucalyptus decorticans,1.33
Eucalyptus deflexa,1.22
Eucalyptus delicata,1.26
Eucalyptus dendromorpha,1.19
Eucalyptus densa,1.22
Eucalyptus denticulata,1.19
Eucalyptus depauperata,1.29
Eucalyptus desmondensis,1.21
Eucalyptus deuaensis,1.13
Eucalyptus dielsii,1.3
Eucalyptus diminuta,1.26
Eucalyptus diptera,1.24
Eucalyptus disclusa,1.21
Eucalyptus discreta,1.18
Eucalyptus dissimulata,1.23
Eucalyptus distans,1.26
Eucalyptus distuberosa,1.315
Eucalyptus diversicolor,1.14
Eucalyptus diversifolia,1.09
Eucalyptus dives,1.12
Eucalyptus dolichocera,1.33
Eucalyptus dolichorhyncha,1.21
Eucalyptus doratoxylon,1.12
Eucalyptus dorrienii,1.34
Eucalyptus dorrigoensis,1.18
Eucalyptus drepanophylla,1.31
Eucalyptus drummondii,1.23
Eucalyptus dumosa,1.31
Eucalyptus dundasii,1.21
Eucalyptus dunnii,1.22
Eucalyptus dura,1.27
Eucalyptus dwyeri,1.21
Eucalyptus ebbanoensis,1.21
Eucalyptus ecostata,1.3
Eucalyptus educta,1.18
Eucalyptus effusa,1.275
Eucalyptus elata,1.08
Eucalyptus elegans,1.28
Eucalyptus elliptica,1.18
Eucalyptus eremicola,1.33
Eucalyptus eremophila,1.32
Eucalyptus erosa,1.14
Eucalyptus erythrocorys,1.213333333
Eucalyptus erythronema,1.305
Eucalyptus eudesmioides,1.17
Eucalyptus eugenioides,1.14
Eucalyptus ewartiana,1.25
